trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|AGQ|4h|1725379200000|1725379200000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2024-09-03 12:00,1725379200000,33.08,Margin call,2024-09-03 12:00,1725379200000,33.08,1,33.08,0,-0.07,-0.1998,0,0,0.03,0.0999,0.07,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1725379200000|1726243200000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2024-09-03 12:00,1725379200000,33.08,Flip Short,2024-09-13 12:00,1726243200000,40.05,301,9957.08,32,2075.96,20.8282,2088.01,20.9492,247.75,2.4857,22.01,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1728403200000|1729281600000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2024-10-08 12:00,1728403200000,38.36,Flip Short,2024-10-18 16:00,1729281600000,46.73,314,12045.04,33,2601.46,21.5762,2656.95,22.0365,156.49,1.2979,26.72,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1730898000000|1733331600000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2024-11-06 08:00,1730898000000,41.03,Flip Short,2024-12-04 12:00,1733331600000,40.01,357,14647.71,76,-393.07,-2.6808,420.89,2.8706,1828.21,12.4687,28.93,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1734541200000|1736355600000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2024-12-18 12:00,1734541200000,36.91,Flip Short,2025-01-08 12:00,1736355600000,37.43,386,14247.26,50,172.02,1.2062,325.43,2.2819,1396.13,9.7895,28.7,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1737997200000|1738242000000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2025-01-27 12:00,1737997200000,35.7,Flip Short,2025-01-30 08:00,1738242000000,40.1,404,14422.8,11,1746.98,12.1005,1811.66,12.5485,180.06,1.2472,30.62,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1740502800000|1741780800000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2025-02-25 12:00,1740502800000,39.44,Flip Short,2025-03-12 08:00,1741780800000,42.9,410,16170.4,42,1384.84,8.5555,1492.63,9.2214,741.87,4.5832,33.76,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1743681600000|1745352000000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2025-04-03 08:00,1743681600000,40.4,Flip Short,2025-04-22 16:00,1745352000000,39.64,434,17533.6,50,-364.58,-2.0772,342.69,1.9525,3715.21,21.1679,34.74,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1746100800000|1747843200000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2025-05-01 08:00,1746100800000,37.48,Flip Short,2025-05-21 12:00,1747843200000,41.49,458,17165.84,57,1800.41,10.4779,1956.81,11.3881,72.13,0.4198,36.17,2026-07-25T00:20:31.370Z
flip-only|AGQ|4h|1753891200000|1755878400000,flip-only,AGQ,AMEX:AGQ,4h,Swing 4H,LONG,Swing Low,2025-07-30 12:00,1753891200000,51.01,Flip Short,2025-08-22 12:00,1755878400000,54.3,344,17547.44,67,1095.53,6.237,1227.73,6.9897,1328.19,7.5616,36.23,2026-07-25T03:48:19.006Z
