trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|KORU|3h|1751907600000|1752145200000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2025-07-07 13:00,1751907600000,3.72,Flip Short,2025-07-10 07:00,1752145200000,4.21,2685,9988.2,16,1294.36,12.9459,1413.06,14.1332,197.94,1.9797,21.29,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1754046000000|1755028800000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2025-08-01 07:00,1754046000000,3.64,Flip Short,2025-08-12 16:00,1755028800000,4.29,3099,11280.36,43,1989.77,17.6217,2065.05,18.2883,11.28,0.0999,24.58,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1758884400000|1759392000000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2025-09-26 07:00,1758884400000,4.89,Flip Short,2025-10-02 04:00,1759392000000,5.97,2713,13266.57,22,2900.58,21.842,2916.77,21.9639,13.27,0.0999,29.46,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1760137200000|1760612400000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2025-10-10 19:00,1760137200000,5.22,Flip Short,2025-10-16 07:00,1760612400000,6.85,3091,16135.02,20,5001.02,30.9639,5084.02,31.4777,201.6,1.2482,37.31,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1779134400000|1779134400000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2026-05-18 16:00,1779134400000,35.72,Margin call,2026-05-18 16:00,1779134400000,35.72,1,35.72,0,-0.07,-0.1998,0,0,0.04,0.0999,0.07,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1779134400000|1779793200000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2026-05-18 16:00,1779134400000,35.72,Flip Short,2026-05-26 07:00,1779793200000,46.74,592,21146.24,27,6475.02,30.5896,6692.13,31.6153,3200.19,15.1185,48.82,2026-07-25T00:32:54.131Z
flip-only|KORU|3h|1780668000000|1781780400000,flip-only,KORU,AMEX:KORU,3h,Swing 3H,LONG,Swing Low,2026-06-05 10:00,1780668000000,39.5,Flip Short,2026-06-18 07:00,1781780400000,50.22,699,27610.5,53,7430.57,26.8852,8479.22,30.6794,7367.11,26.6556,62.71,2026-07-25T00:32:54.131Z
flip-only|MEXX|3h|1724691600000|1726592400000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2024-08-26 13:00,1724691600000,14.48,Flip Short,2024-09-17 13:00,1726592400000,14.85,686,9933.28,58,233.7,2.3503,243.89,2.4528,1903.29,19.1416,20.12,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1727467200000|1733410800000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2024-09-27 16:00,1727467200000,13.63,Flip Short,2024-12-05 10:00,1733410800000,11.6,744,10140.72,186,-1529.09,-15.0637,1224.9,12.067,2926.62,28.8313,18.77,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1734631200000|1737568800000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2024-12-19 13:00,1734631200000,10.06,Flip Short,2025-01-22 13:00,1737568800000,10.42,863,8681.78,77,293.01,3.3716,578.16,6.6528,1061.54,12.215,17.67,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1738584000000|1739210400000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2025-02-03 07:00,1738584000000,9.3,Flip Short,2025-02-10 13:00,1739210400000,11.19,966,8983.8,21,1805.95,20.0822,2000.3,22.2433,269.8,3.0002,19.79,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1750233600000|1751454000000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2025-06-18 04:00,1750233600000,16.23,Flip Short,2025-07-02 07:00,1751454000000,17.87,661,10728.03,37,1061.5,9.8848,1099.75,10.241,863.42,8.0402,22.54,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1752598800000|1754586000000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2025-07-15 13:00,1752598800000,16.15,Flip Short,2025-08-07 13:00,1754586000000,17.71,731,11805.65,56,1115.61,9.4403,1128.55,9.5499,304.21,2.5742,24.75,2026-07-25T00:32:59.325Z
flip-only|MEXX|3h|1756303200000|1756918800000,flip-only,MEXX,AMEX:MEXX,3h,Swing 3H,LONG,Swing Low,2025-08-27 10:00,1756303200000,16.87,Flip Short,2025-09-03 13:00,1756918800000,18.69,767,12939.29,13,1368.67,10.567,1850.87,14.29,81.97,0.6329,27.27,2026-07-25T00:32:59.325Z
flip-only|PILL|3h|1731682800000|1736953200000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2024-11-15 10:00,1731682800000,8.54,Flip Short,2025-01-15 10:00,1736953200000,7.33,1157,9880.78,176,-1418.33,-14.3401,892.58,9.0245,2890.81,29.2277,18.36,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1748008800000|1749574800000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2025-05-23 10:00,1748008800000,4.8,Flip Short,2025-06-10 13:00,1749574800000,6.09,1778,8534.4,52,2274.26,26.6215,2285.09,26.7483,8.53,0.0999,19.36,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1753916400000|1754996400000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2025-07-30 19:00,1753916400000,5.65,Flip Short,2025-08-12 07:00,1754996400000,6.33,1919,10842.35,43,1281.93,11.8116,1294.08,11.9235,1047.1,9.6479,22.99,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1757696400000|1759240800000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2025-09-12 13:00,1757696400000,7.5,Flip Short,2025-09-30 10:00,1759240800000,7.95,1608,12060,52,698.76,5.7882,727.62,6.0273,719.58,5.9607,24.84,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1762516800000|1762884000000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2025-11-07 07:00,1762516800000,8.1,Flip Short,2025-11-11 13:00,1762884000000,9.27,1583,12822.3,11,1824.61,14.2158,1839.29,14.3301,535.21,4.1699,27.5,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1767376800000|1769094000000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2026-01-02 13:00,1767376800000,11.53,Flip Short,2026-01-22 10:00,1769094000000,13.1,1263,14562.39,57,1951.8,13.3896,1968.35,13.5031,545.02,3.7389,31.11,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1769796000000|1770822000000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2026-01-30 13:00,1769796000000,11.58,Flip Short,2026-02-11 10:00,1770822000000,12.4,1433,16594.14,36,1140.7,6.8672,2376.52,14.3071,145.56,0.8763,34.36,2026-07-25T00:33:04.262Z
flip-only|PILL|3h|1778864400000|1781110800000,flip-only,PILL,AMEX:PILL,3h,Swing 3H,LONG,Swing Low,2026-05-15 13:00,1778864400000,11.67,Flip Short,2026-06-10 13:00,1781110800000,12.35,1510,17621.7,70,990.53,5.6155,1990.68,11.2855,1482.32,8.4035,36.27,2026-07-25T00:33:04.262Z
flip-only|QTUM|3h|1743105600000|1745416800000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2025-03-27 16:00,1743105600000,77.29,Flip Short,2025-04-23 10:00,1745416800000,72.5,129,9970.41,93,-637.23,-6.3849,113.87,1.1409,1914.01,19.1777,19.32,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1750698000000|1751022000000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2025-06-23 13:00,1750698000000,86.93,Flip Short,2025-06-27 07:00,1751022000000,91.59,107,9301.51,19,479.52,5.1501,533.19,5.7266,9.3,0.0999,19.1,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1755698400000|1756324800000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2025-08-20 10:00,1755698400000,91,Flip Short,2025-08-27 16:00,1756324800000,95.14,108,9828,31,427.02,4.3406,450.25,4.5767,81.11,0.8245,20.1,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1765886400000|1767614400000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2025-12-16 07:00,1765886400000,109.94,Flip Short,2026-01-05 07:00,1767614400000,113.68,93,10224.42,69,327.02,3.1953,362.71,3.5439,279.92,2.7351,20.8,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1770033600000|1770822000000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2026-02-02 07:00,1770033600000,114.04,Flip Short,2026-02-11 10:00,1770822000000,119.49,92,10491.68,40,479.92,4.5697,576.47,5.489,536.73,5.1107,21.48,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1772452800000|1775635200000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2026-03-02 07:00,1772452800000,113.53,Flip Short,2026-04-08 04:00,1775635200000,114.83,97,11012.41,143,103.95,0.943,297.45,2.6983,1176.95,10.6768,22.15,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1779134400000|1779393600000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2026-05-18 16:00,1779134400000,141.98,Flip Short,2026-05-21 16:00,1779393600000,149.4,78,11074.44,17,556.03,5.0158,590.31,5.325,349.59,3.1536,22.73,2026-07-25T00:33:14.185Z
flip-only|QTUM|3h|1780678800000|1781564400000,flip-only,QTUM,NASDAQ:QTUM,3h,Swing 3H,LONG,Swing Low,2026-06-05 13:00,1780678800000,155.86,Flip Short,2026-06-15 19:00,1781564400000,167.9,75,11689.5,38,878.72,7.5096,967.06,8.2646,637.94,5.4519,24.28,2026-07-25T00:33:14.185Z
flip-only|WQTM|3h|1766005200000|1766750400000,flip-only,WQTM,CBOE:WQTM,3h,Swing 3H,LONG,Swing Low,2025-12-17 16:00,1766005200000,25.22,Flip Short,2025-12-26 07:00,1766750400000,26.77,396,9987.12,20,593.21,5.9338,1273.05,12.7342,73.35,0.7337,20.59,2026-07-25T00:33:18.995Z
flip-only|WQTM|3h|1769709600000|1772107200000,flip-only,WQTM,CBOE:WQTM,3h,Swing 3H,LONG,Swing Low,2026-01-29 13:00,1769709600000,27.7,Flip Short,2026-02-26 07:00,1772107200000,27.7,382,10581.4,85,-21.16,-0.1998,447.82,4.2279,1041.98,9.8375,21.16,2026-07-25T00:33:18.995Z
flip-only|WQTM|3h|1773064800000|1774274400000,flip-only,WQTM,CBOE:WQTM,3h,Swing 3H,LONG,Swing Low,2026-03-09 10:00,1773064800000,25.51,Flip Short,2026-03-23 10:00,1774274400000,25.7,414,10561.14,44,57.46,0.5435,1061.7,10.0428,759.9,7.1881,21.2,2026-07-25T00:33:18.995Z
flip-only|WQTM|3h|1774890000000|1775829600000,flip-only,WQTM,CBOE:WQTM,3h,Swing 3H,LONG,Swing Low,2026-03-30 13:00,1774890000000,23.5,Flip Short,2026-04-10 10:00,1775829600000,26.88,450,10575,34,1498.33,14.1544,1519.42,14.3537,132.07,1.2477,22.67,2026-07-25T00:33:18.995Z
flip-only|WQTM|3h|1779123600000|1779447600000,flip-only,WQTM,CBOE:WQTM,3h,Swing 3H,LONG,Swing Low,2026-05-18 13:00,1779123600000,32.97,Flip Short,2026-05-22 07:00,1779447600000,37.2,366,12067.02,22,1522.5,12.6044,1828.91,15.1412,392.71,3.2511,25.68,2026-07-25T00:33:18.995Z
