trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|JNUG|2h|1758204000000|1758535200000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2025-09-18 10:00,1758204000000,126.6,Flip Short,2025-09-22 06:00,1758535200000,147.98,78,9874.8,14,1646.22,16.6543,1668.69,16.8815,161.19,1.6308,21.42,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1761048000000|1762772400000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2025-10-21 08:00,1761048000000,164.43,Flip Short,2025-11-10 06:00,1762772400000,147.03,70,11510.1,110,-1239.8,-10.7607,0,0,2999.11,26.0303,21.8,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1763679600000|1764097200000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2025-11-20 18:00,1763679600000,137.07,Flip Short,2025-11-25 14:00,1764097200000,160.14,75,10280.25,20,1707.96,16.5974,1803.22,17.5231,390.53,3.795,22.29,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1767373200000|1767978000000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2026-01-02 12:00,1767373200000,196,Flip Short,2026-01-09 12:00,1767978000000,238,61,11956,40,2535.53,21.186,2611.04,21.817,199.23,1.6647,26.47,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1769770800000|1770670800000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2026-01-30 06:00,1769770800000,275.98,Flip Short,2026-02-09 16:00,1770670800000,281.2,53,14626.94,53,247.13,1.6879,674.9,4.6095,4094.57,27.9654,29.53,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1772550000000|1774972800000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2026-03-03 10:00,1772550000000,279,Flip Short,2026-03-31 12:00,1774972800000,187.2,53,14787,161,-4890.11,-33.0373,1867.24,12.615,7724.17,52.184,24.71,2026-07-25T00:30:01.722Z
flip-only|JNUG|2h|1782223200000|1783000800000,flip-only,JNUG,AMEX:JNUG,2h,Swing 2H,LONG,Swing Low,2026-06-23 10:00,1782223200000,133,Flip Short,2026-07-02 10:00,1783000800000,135.47,75,9975,53,165.11,1.6536,323.02,3.2351,1489.72,14.9197,20.14,2026-07-25T00:30:01.722Z
flip-only|SOXL|2h|1755684000000|1756389600000,flip-only,SOXL,AMEX:SOXL,2h,Swing 2H,LONG,Swing Low,2025-08-20 06:00,1755684000000,26.04,Flip Short,2025-08-28 10:00,1756389600000,28.14,383,9973.32,50,783.55,7.8486,1165.84,11.6779,921.51,9.2306,20.75,2026-07-25T00:30:06.705Z
flip-only|SOXL|2h|1756807200000|1757455200000,flip-only,SOXL,AMEX:SOXL,2h,Swing 2H,LONG,Swing Low,2025-09-02 06:00,1756807200000,25.06,Flip Short,2025-09-09 18:00,1757455200000,27.65,429,10750.74,46,1088.5,10.1147,1104.65,10.2648,559.87,5.2025,22.61,2026-07-25T00:30:06.705Z
flip-only|SOXL|2h|1760112000000|1760976000000,flip-only,SOXL,AMEX:SOXL,2h,Swing 2H,LONG,Swing Low,2025-10-10 12:00,1760112000000,37.63,Flip Short,2025-10-20 12:00,1760976000000,42.55,315,11853.45,48,1524.54,12.8488,1689.15,14.236,2005.8,16.9048,25.26,2026-07-25T00:30:06.705Z
