trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|INTC|1h|1770026400000|1770058800000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-02-02 05:00,1770026400000,45.8,Flip Short,2026-02-02 14:00,1770058800000,49.8,218,9984.4,9,851.16,8.5164,870.74,8.7122,116.8,1.1687,20.84,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1770310800000|1770404400000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-02-05 12:00,1770310800000,48.24,Flip Short,2026-02-06 14:00,1770404400000,51.09,224,10805.76,18,616.15,5.6964,674.63,6.237,389.37,3.5997,22.25,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1770915600000|1771948800000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-02-12 12:00,1770915600000,47.07,Flip Short,2026-02-24 11:00,1771948800000,45.72,243,11438.01,111,-350.6,-3.0621,139.22,1.216,1029.61,8.9926,22.55,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1772445600000|1772647200000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-02 05:00,1772445600000,44.23,Flip Short,2026-03-04 13:00,1772647200000,45.73,251,11101.73,40,353.92,3.1848,465.8,4.1915,535.69,4.8205,22.58,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1773046800000|1773151200000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-09 05:00,1773046800000,42.6,Flip Short,2026-03-10 10:00,1773151200000,46.38,268,11416.8,21,989.19,8.6557,1224.06,10.7109,266.02,2.3277,23.85,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1773392400000|1773669600000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-13 05:00,1773392400000,45.41,Flip Short,2026-03-16 10:00,1773669600000,48.02,274,12442.34,21,689.54,5.5363,1017.8,8.1719,34.36,0.2759,25.6,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1773756000000|1774015200000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-17 10:00,1773756000000,45.27,Flip Short,2026-03-20 10:00,1774015200000,45.66,290,13128.3,48,86.73,0.66,648.07,4.9315,482.93,3.6749,26.37,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1774036800000|1774450800000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-20 16:00,1774036800000,43.92,Flip Short,2026-03-25 11:00,1774450800000,47.48,300,13176,43,1040.58,7.8897,1081.82,8.2024,334.18,2.5337,27.42,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1774620000000|1775044800000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-03-27 10:00,1774620000000,43.5,Flip Short,2026-04-01 08:00,1775044800000,44.82,327,14224.5,46,402.76,2.8286,427.23,3.0004,952.71,6.691,28.88,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1776888000000|1776978000000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-04-22 16:00,1776888000000,65.23,Flip Short,2026-04-23 17:00,1776978000000,77.1,224,14611.52,17,2627,17.961,2924.27,19.9935,16.85,0.1152,31.88,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1778756400000|1779267600000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-05-14 07:00,1778756400000,116.37,Flip Short,2026-05-20 05:00,1779267600000,115.25,148,17222.76,62,-200.04,-1.1603,305.42,1.7716,2084.78,12.0927,34.28,2026-07-25T00:19:11.807Z
flip-only|INTC|1h|1779980400000|1780063200000,flip-only,INTC,NASDAQ:INTC,1h,Swing 1H,LONG,Swing Low,2026-05-28 11:00,1779980400000,119.64,Flip Short,2026-05-29 10:00,1780063200000,121.97,142,16988.88,15,296.55,1.7438,974.17,5.7284,34.03,0.2001,34.31,2026-07-25T00:19:11.807Z
