trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|TECL|2h|1755619200000|1755619200000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-08-19 12:00,1755619200000,103.09,Margin call,2025-08-19 12:00,1755619200000,103.09,1,103.09,0,-0.21,-0.1998,0,0,0.1,0.0999,0.21,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1755619200000|1756324800000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-08-19 12:00,1755619200000,103.09,Flip Short,2025-08-27 16:00,1756324800000,103.71,96,9896.64,50,39.67,0.4004,84.18,0.8498,872.94,8.8117,19.85,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1756821600000|1757455200000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-09-02 10:00,1756821600000,97.49,Flip Short,2025-09-09 18:00,1757455200000,108.26,102,9943.98,43,1077.55,10.8254,1113.08,11.1823,307.78,3.0921,20.99,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1760112000000|1761256800000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-10-10 12:00,1760112000000,125.67,Flip Short,2025-10-23 18:00,1761256800000,132.41,88,11058.96,75,570.41,5.1527,587.34,5.3057,1073.22,9.6948,22.71,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1762268400000|1764673200000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-11-04 10:00,1762268400000,143.64,Flip Short,2025-12-02 06:00,1764673200000,125.58,81,11634.84,149,-1484.67,-12.7478,2.14,0.0183,3405.53,29.2409,21.81,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1765465200000|1766523600000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-12-11 10:00,1765465200000,121.55,Flip Short,2025-12-23 16:00,1766523600000,122.91,83,10088.65,67,92.59,0.9168,724.46,7.1738,1231.02,12.1898,20.29,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1767214800000|1767805200000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2025-12-31 16:00,1767214800000,117.56,Flip Short,2026-01-07 12:00,1767805200000,125.49,87,10227.72,29,668.76,6.5322,685.77,6.6983,144.21,1.4086,21.15,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1767891600000|1769511600000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-01-08 12:00,1767891600000,117.15,Flip Short,2026-01-27 06:00,1769511600000,124.93,93,10894.95,93,701.03,6.428,785.19,7.1997,617.25,5.6599,22.51,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1769806800000|1769806800000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-01-30 16:00,1769806800000,115.43,Margin call,2026-01-30 16:00,1769806800000,115.43,1,115.43,0,-0.23,-0.1998,0,0,0.12,0.0999,0.23,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1769806800000|1772031600000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-01-30 16:00,1769806800000,115.43,Flip Short,2026-02-25 10:00,1772031600000,110.09,100,11543,133,-556.55,-4.8167,596.46,5.1621,2278.54,19.7199,22.55,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1772204400000|1773244800000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-02-27 10:00,1772204400000,100.81,Flip Short,2026-03-11 12:00,1773244800000,103.02,110,11089.1,65,220.68,1.9881,601.61,5.4198,1069.29,9.6331,22.42,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1773928800000|1775592000000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-03-19 10:00,1773928800000,96.5,Flip Short,2026-04-07 16:00,1775592000000,95.37,117,11290.5,99,-154.66,-1.3684,462.56,4.0928,2503.39,22.1504,22.45,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1779206400000|1779458400000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-05-19 12:00,1779206400000,182.15,Flip Short,2026-05-22 10:00,1779458400000,208.99,61,11111.15,23,1613.38,14.5059,1739.59,15.6406,50.76,0.4564,23.86,2026-07-25T00:30:34.377Z
flip-only|TECL|2h|1780682400000|1781546400000,flip-only,TECL,AMEX:TECL,2h,Swing 2H,LONG,Swing Low,2026-06-05 14:00,1780682400000,214.88,Flip Short,2026-06-15 14:00,1781546400000,238.65,59,12677.92,48,1375.67,10.8401,1501.26,11.8297,2333.15,18.3849,26.76,2026-07-25T00:30:34.377Z
flip-only|DXYZ|2h|1754690400000|1755878400000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2025-08-08 18:00,1754690400000,26.81,Flip Short,2025-08-22 12:00,1755878400000,28.4,372,9973.32,77,570.94,5.719,1031.63,10.3335,363.37,3.6398,20.54,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1756814400000|1757944800000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2025-09-02 08:00,1756814400000,27.01,Flip Short,2025-09-15 10:00,1757944800000,27.04,390,10533.9,73,-9.38,-0.089,375.57,3.5617,583.83,5.5369,21.08,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1760112000000|1761926400000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2025-10-10 12:00,1760112000000,26.37,Flip Short,2025-10-31 12:00,1761926400000,25.9,400,10548,120,-208.91,-1.9786,849.45,8.0452,1358.55,12.8668,20.91,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1762534800000|1764342000000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2025-11-07 12:00,1762534800000,24.02,Flip Short,2025-11-28 10:00,1764342000000,22.22,429,10304.58,108,-792.04,-7.6786,783.35,7.5943,1846.42,17.9006,19.84,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1769014800000|1769612400000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2026-01-21 12:00,1769014800000,28.83,Flip Short,2026-01-28 10:00,1769612400000,33.36,331,9542.73,39,1478.85,15.4816,1695.11,17.7456,254.48,2.6641,20.58,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1773928800000|1774382400000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2026-03-19 10:00,1773928800000,25.34,Flip Short,2026-03-24 16:00,1774382400000,26.56,435,11022.9,27,508.12,4.6051,728.48,6.6022,820.12,7.4327,22.58,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1776960000000|1777492800000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2026-04-23 12:00,1776960000000,29.62,Flip Short,2026-04-29 16:00,1777492800000,32.76,388,11492.56,34,1194.12,10.38,1346.51,11.7046,399.49,3.4726,24.2,2026-07-25T00:30:39.381Z
flip-only|DXYZ|2h|1780329600000|1783620000000,flip-only,DXYZ,NYSE:DXYZ,2h,Swing 2H,LONG,Swing Low,2026-06-01 12:00,1780329600000,49.67,Flip Short,2026-07-09 14:00,1783620000000,26.36,256,12715.52,209,-5986.82,-47.0358,563.28,4.4255,6686.64,52.5339,19.46,2026-07-25T00:30:39.381Z
flip-only|TOPT|2h|1754064000000|1754064000000,flip-only,TOPT,AMEX:TOPT,2h,Swing 2H,LONG,Swing Low,2025-08-01 12:00,1754064000000,27.99,Margin call,2025-08-01 12:00,1754064000000,27.99,1,27.99,0,-0.06,-0.1998,0,0,0.03,0.0999,0.06,2026-07-25T00:30:54.491Z
flip-only|TOPT|2h|1754064000000|1754935200000,flip-only,TOPT,AMEX:TOPT,2h,Swing 2H,LONG,Swing Low,2025-08-01 12:00,1754064000000,27.99,Flip Short,2025-08-11 14:00,1754935200000,28.84,356,9964.44,41,282.37,2.8309,335.36,3.3622,109.64,1.0993,20.23,2026-07-25T00:30:54.491Z
flip-only|TOPT|2h|1756900800000|1756987200000,flip-only,TOPT,AMEX:TOPT,2h,Swing 2H,LONG,Swing Low,2025-09-03 08:00,1756900800000,28.95,Flip Short,2025-09-04 08:00,1756987200000,29.1,354,10248.3,8,32.55,0.3173,103.03,1.0043,42.11,0.4105,20.55,2026-07-25T00:30:54.491Z
flip-only|TOPT|2h|1760112000000|1761552000000,flip-only,TOPT,AMEX:TOPT,2h,Swing 2H,LONG,Swing Low,2025-10-10 12:00,1760112000000,30.33,Flip Short,2025-10-27 04:00,1761552000000,31.45,339,10281.87,80,358.74,3.4855,369.4,3.5891,288.26,2.8008,20.94,2026-07-25T00:30:54.491Z
