trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|DXYZ|45m|1773928800000|1774363500000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-03-19 10:00,1773928800000,25.34,Flip Short,2026-03-24 10:45,1774363500000,24.91,394,9983.96,64,-189.22,-1.8933,131.86,1.3194,742.82,7.4327,19.8,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1774620000000|1775057400000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-03-27 10:00,1774620000000,27.4,Flip Short,2026-04-01 11:30,1775057400000,28.61,357,9781.8,68,411.97,4.2074,875.58,8.9422,509.58,5.2043,20,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1775570400000|1776088800000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-04-07 10:00,1775570400000,27.25,Flip Short,2026-04-13 10:00,1776088800000,28.64,373,10164.25,87,497.62,4.8909,664.97,6.5357,196.66,1.9329,20.85,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1776348000000|1776866400000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-04-16 10:00,1776348000000,29.09,Flip Short,2026-04-22 10:00,1776866400000,29.78,368,10705.12,87,232.26,2.1674,471.37,4.3989,95.35,0.8898,21.66,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1778767200000|1779096600000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-05-14 10:00,1778767200000,42.5,Flip Short,2026-05-18 05:30,1779096600000,53.17,257,10922.5,38,2717.6,24.8559,3019.11,27.6136,10.92,0.0999,24.59,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1779893100000|1781167500000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-05-27 10:45,1779893100000,55.81,Flip Short,2026-06-11 04:45,1781167500000,40.34,244,13617.64,234,-3798.14,-27.8635,301.14,2.2092,5701.26,41.8249,23.46,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1781280900000|1781704800000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-06-12 12:15,1781280900000,31.83,Flip Short,2026-06-17 10:00,1781704800000,28.75,309,9835.47,63,-970.44,-9.8569,308.43,3.1328,1687.71,17.1422,18.72,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1782139500000|1782139500000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-06-22 10:45,1782139500000,27.05,Margin call,2026-06-22 10:45,1782139500000,27.05,1,27.05,0,-0.05,-0.1998,0,0,0.03,0.0999,0.05,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1782139500000|1782504000000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-06-22 10:45,1782139500000,27.05,Flip Short,2026-06-26 16:00,1782504000000,25.41,328,8872.4,95,-555.13,-6.2505,128.89,1.4512,1074.87,12.1027,17.21,2026-07-25T00:28:57.172Z
flip-only|DXYZ|45m|1782914400000|1783365300000,flip-only,DXYZ,NYSE:DXYZ,45m,Swing 45m,LONG,Swing Low,2026-07-01 10:00,1782914400000,25.55,Flip Short,2026-07-06 15:15,1783365300000,25.69,326,8329.3,49,28.94,0.3471,125.33,1.5032,644.03,7.7244,16.7,2026-07-25T00:28:57.172Z
