trade_key,rule_type,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
flip-only|AMDL|30m|1777903200000|1778016600000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-05-04 10:00,1777903200000,34.86,Flip Short,2026-05-05 17:30,1778016600000,40.6,286,9969.96,47,1620.06,16.2332,1800.41,18.0403,945.19,9.4709,21.58,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1778171400000|1778248800000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-05-07 12:30,1778171400000,44.9,Flip Short,2026-05-08 10:00,1778248800000,50.8,258,11584.2,27,1497.51,12.9143,1624.14,14.0063,308.28,2.6586,24.69,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1778585400000|1779283800000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-05-12 07:30,1778585400000,53.58,Flip Short,2026-05-20 09:30,1779283800000,48.88,244,13073.52,196,-1171.8,-8.9542,1041.01,7.9548,3043.55,23.257,25,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1779964200000|1779982200000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-05-28 06:30,1779964200000,62.21,Flip Short,2026-05-28 11:30,1779982200000,71.92,191,11882.11,10,1828.99,15.3774,1858.01,15.6214,74.91,0.6298,25.62,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1780302600000|1780408800000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-06-01 04:30,1780302600000,64.5,Flip Short,2026-06-02 10:00,1780408800000,70.45,213,13738.5,43,1238.61,9.0066,1338.81,9.7352,561.15,4.0804,28.74,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1781022600000|1781186400000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-06-09 12:30,1781022600000,50.58,Flip Short,2026-06-11 10:00,1781186400000,57.86,295,14921.1,59,2115.61,14.1645,2519.13,16.8661,693.42,4.6426,31.99,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1782480600000|1782480600000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-06-26 09:30,1782480600000,66.64,Margin call,2026-06-26 09:30,1782480600000,66.64,1,66.64,0,-0.13,-0.1998,0,0,0.07,0.0999,0.13,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1782480600000|1782754200000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-06-26 09:30,1782480600000,66.64,Flip Short,2026-06-29 13:30,1782754200000,72.28,256,17059.84,40,1408.28,8.2467,1470.3,8.6099,1588.9,9.3044,35.56,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1782936000000|1783346400000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-07-01 16:00,1782936000000,71.34,Flip Short,2026-07-06 10:00,1783346400000,75.65,259,18477.06,52,1078.22,5.8296,1245.44,6.7337,2424.59,13.109,38.07,2026-07-25T00:18:52.112Z
flip-only|AMDL|30m|1783431000000|1783585800000,flip-only,AMDL,NASDAQ:AMDL,30m,Swing 30min,LONG,Swing Low,2026-07-07 09:30,1783431000000,64.08,Flip Short,2026-07-09 04:30,1783585800000,67.3,305,19544.4,54,942.03,4.8151,1145.56,5.8554,1373.74,7.0218,40.07,2026-07-25T00:18:52.112Z
