trade_key,ticker,symbol,timeframe,watchlist,side,entry_signal,entry_time_et,entry_time_ms,entry_price,exit_signal,exit_time_et,exit_time_ms,exit_price,qty,position_value,bars_held,pnl_usd,pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,commission,logged_at
NFLX|4h|1725638400000|1726588800000|150,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2024-09-06 12:00,1725638400000,66.37,Flip Short,2024-09-17 12:00,1726588800000,70.34,150,9955.5,28,574.99,5.7699,641.04,6.4327,50.46,0.5063,20.51,2026-07-25T01:09:24.381Z
NFLX|4h|1729180800000|1729267200000|151,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2024-10-17 12:00,1729180800000,69.57,Flip Short,2024-10-18 12:00,1729267200000,75.79,151,10505.07,4,917.27,8.723,1011.76,9.6216,440.86,4.1924,21.95,2026-07-25T01:09:24.381Z
NFLX|4h|1734598800000|1737536400000|128,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2024-12-19 04:00,1734598800000,89.6,Flip Short,2025-01-22 04:00,1737536400000,99.3,128,11468.8,80,1217.42,10.6045,1291.57,11.2504,938.19,8.1722,24.18,2026-07-25T01:09:24.381Z
NFLX|4h|1740416400000|1742918400000|127,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-02-24 12:00,1740416400000,99.72,Flip Short,2025-03-25 12:00,1742918400000,99.26,127,12664.44,84,-83.69,-0.6602,111.8,0.8819,1842.73,14.5359,25.27,2026-07-25T01:09:24.381Z
NFLX|4h|1743696000000|1744732800000|134,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-04-03 12:00,1743696000000,93.61,Flip Short,2025-04-15 12:00,1744732800000,98.15,134,12543.74,32,582.66,4.6404,727.14,5.791,1666.1,13.2691,25.7,2026-07-25T01:09:24.381Z
NFLX|4h|1752235200000|1754668800000|105,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-07-11 08:00,1752235200000,125.28,Flip Short,2025-08-08 12:00,1754668800000,119.87,105,13154.4,81,-593.79,-4.5095,557,4.2301,1182.85,8.9831,25.74,2026-07-25T01:09:24.381Z
NFLX|4h|1756828800000|1757001600000|104,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-09-02 12:00,1756828800000,120.04,Flip Short,2025-09-04 12:00,1757001600000,125.43,104,12484.16,8,535.03,4.2814,568.88,4.5522,33.28,0.2663,25.53,2026-07-25T01:09:24.381Z
NFLX|4h|1757707200000|1760025600000|110,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-09-12 16:00,1757707200000,118.84,Flip Short,2025-10-09 12:00,1760025600000,122.91,110,13072.4,75,421.11,3.2181,487.43,3.725,604.87,4.6225,26.59,2026-07-25T01:09:24.381Z
NFLX|4h|1761148800000|1762952400000|120,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-10-22 12:00,1761148800000,112.08,Flip Short,2025-11-12 08:00,1762952400000,113.71,120,13449.6,59,168.51,1.2516,250.55,1.861,577.45,4.2891,27.09,2026-07-25T01:09:24.381Z
NFLX|4h|1763658000000|1772125200000|127,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2025-11-20 12:00,1763658000000,107.31,Flip Short,2026-02-26 12:00,1772125200000,84.25,127,13628.37,260,-2952.95,-21.646,316.57,2.3206,4114.46,30.1602,24.33,2026-07-25T01:09:24.381Z
NFLX|4h|1773936000000|1775044800000|116,NFLX,NASDAQ:NFLX,4h,ADHOC-TEST,LONG,Swing Low,2026-03-19 12:00,1773936000000,92.38,Flip Short,2026-04-01 08:00,1775044800000,96.74,116,10716.08,35,483.82,4.5104,505.48,4.7123,275.2,2.5655,21.94,2026-07-25T01:09:24.381Z
